ref_no_supabase;id_antigo;categoria;enunciado;track_id;link_da_faixa
legacy-296;296;CPA-20: Compliance Legal, Ética e Análise de Perfil do Investidor;(B35) Um investidor aplica em um fundo de investimentos cuja cota é 100. Em uma semana a cota cai para 95 e ele decide não se desfazer do investimento (sem juizo de valor) enquanto;697240367;https://api.soundcloud.com/tracks/697240367
legacy-480;480;CPA-20: Sistema Financeiro Nacional e Participantes do Mercado;(A8) Qual destas atividades é desempenhada por corretoras/distribuidoras?;693925780;https://api.soundcloud.com/tracks/693925780
legacy-3742;3742;CNPI - CB - M1 - SISTEMA FINANCEIRO NACIONAL;Compete ao CMN, dentre outras atribuições:;1460751475;https://api.soundcloud.com/tracks/1460751475
legacy-4529;4529;CNPI - CT1 - M1;Observe a figura abaixo e marque a alternativa verdadeira;1541911351;https://api.soundcloud.com/tracks/1541911351
legacy-4530;4530;CNPI - CT1 - M1;Ao analisar USIM3 indexado por GGBR4, pode-se dizer que;1541943703;https://api.soundcloud.com/tracks/1541943703
legacy-4532;4532;CNPI - CT1 - M1;Operando no método de cruzamento Preço X Média, com base no gráfico indexado CSNA3 X GGBR4, a abertura de posição no ponto A sugere;1541968012;https://api.soundcloud.com/tracks/1541968012
legacy-4592;4592;CNPI - CT1 - M2;Charles Dow divulgou uma forma de seguir e interpretar os movimentos do mercado por meio de qual instrumento em gráfico de preços?;1557548239;https://api.soundcloud.com/tracks/1557548239
legacy-4593;4593;CNPI - CT1 - M2;Segundo Charles Dow, pioneiro da Análise Técnica, as três fases da tendência primária de alta em ordem de incidência são:;1557550765;https://api.soundcloud.com/tracks/1557550765
legacy-4594;4594;CNPI - CT1 - M2;Dentre as fases da tendência primária de Alta descritas por Charles Dow, é considerada a fase mais longa e onde se verifica um expressivo aumento do número de investidores e dos vo;1557539083;https://api.soundcloud.com/tracks/1557539083
legacy-4595;4595;CNPI - CT1 - M2;Segundo Charles Dow, em qual das fases da tendência primária é mais provável a diminuição dos valores negociados, mesmo com a prevalência de notícias de cunho otimistas?;1557544312;https://api.soundcloud.com/tracks/1557544312
legacy-4596;4596;CNPI - CT1 - M2;No âmbito da Teoria de Dow, o acompanhamento do volume tem uma função:;1547966899;https://api.soundcloud.com/tracks/1547966899
legacy-4597;4597;CNPI - CT1 - M2;Na teoria de Dow, a informação sobre o volume em relação ao preço é:;1547963482;https://api.soundcloud.com/tracks/1547963482
